gds,rb
GDS-1000,48729b
GDS-1049,30151b
GDS-1053,4697b
GDS-1056,32474
GDS-1061,4488
GDS-1063,3049d
GDS-1066,6153b
GDS-1068,6014b
GDS-1071,87414
GDS-1075,75937
GDS-1080,4590
GDS-1082,30389b
GDS-1086,3943b
GDS-1098,3648b
GDS-1103,18575
GDS-1122,4151b
GDS-1124,13349
GDS-1125,4856b
GDS-1131,95120
GDS-1134,6259
GDS-1142,30554b
GDS-1148,2850b
GDS-1152,74698
GDS-1168,43721
GDS-1176,58181
GDS-1188,44375b
GDS-1192,30390a
GDS-1199,32905
GDS-1204,15379
GDS-1287,6538b
GDS-1289,4285b
GDS-1299,92410
GDS-1327,42445
GDS-1360,41669
GDS-1378,3650c
GDS-1402,6542b
GDS-1404,98560
GDS-1481,92409
GDS-1499,99563
GDS-1500,3614a
GDS-1502,4345b
GDS-1574,71076
GDS-1584,48933
GDS-2045,79194
GDS-2072,11267
GDS-534,3010
GDS-540,3003
GDS-543,2456
GDS-544,3007
GDS-561,3068b
GDS-563,2431
GDS-566,3069b
GDS-568,4865b
GDS-588,3040b
GDS-596,4287c
GDS-597,3665
GDS-598,3747b
GDS-599,3660
GDS-602,2412b
GDS-605,3062b
GDS-606,59900
GDS-607,3941
GDS-609,4032a
GDS-611,14769
GDS-612,98138
GDS-613,3070b
GDS-616,32123b
GDS-617,3713
GDS-619,4460b
GDS-620,3678b
GDS-633,32064a
GDS-636,4070
GDS-638,28802
GDS-647,60475b
GDS-651,30237b
GDS-655,42022
GDS-658,11153
GDS-676,18838
GDS-677,16577
GDS-678,15254
GDS-697,3709
GDS-709,88072
GDS-715,14395
GDS-720,6060
GDS-721,3046a
GDS-723,41740
GDS-725,90194
GDS-737,3839b
GDS-738,60583b
GDS-739,42023
GDS-740,2454b
GDS-742,3262
GDS-746,3942c
GDS-758,11399
GDS-763,60616b
GDS-772,30361a
GDS-781,87544
GDS-785,87552
GDS-799,85080
GDS-801,4304
GDS-803,15573
GDS-804,3245c
GDS-805,35446
GDS-808,73983
GDS-812,4081b
GDS-813,61252
GDS-814,60897
GDS-816,60470b
GDS-818,15712
GDS-819,44861
GDS-820,44301b
GDS-821,44302b
GDS-822,44567b
GDS-832,15672
GDS-833,54200
GDS-834,15571
GDS-835,3044c
GDS-848,10247
GDS-861,15207
GDS-863,10314
GDS-866,2453b
GDS-874,60596
GDS-877,57895
GDS-886,59426
GDS-896,30350b
GDS-897,14181
GDS-90043,1126
GDS-90062,2821
GDS-902,2476a
GDS-90262,92474
GDS-907,3957b
GDS-914,3749
GDS-944,4599b
GDS-950,13731
GDS-966,33299b
GDS-967,2825
GDS-969,99773
GDS-984,18759
GDS-F0002,58123a
GDS-F0003,58119
GDS-F0005,99499
GDS-M301,80497
